County,county_fips,City,StateCode,State,StationID,ConditionMonitoringReportID,ReportDate,ScaleBar,Description,year,quarter,month,month_name,week,day
Adams,08001,Thornton,8.0,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,28244.0,2018-01-08,-2.0,"Mild temps allowed pond to thaw.  Flocks of geese observed. 
1/1 through 1/7 daytime Thi range from 26° to 62°.",2018.0,1.0,1.0,Jan,2.0,8.0
Adams,08001,Thornton,8.0,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,28407.0,2018-01-14,-2.0,"Only 0.02"" precip in last 7 days, which was in the form of graupel and some rain.   Four days with daily high temp of 50° or more, of those 4, week's high temp was 66° on 1/10/18.   Local TV now touting how low the general snow pack is, even mentioning possibility of water restrictions if insufficient snow pack fails to materialize with late winter and spring snows.  ( original submitted 1/14/18, minor correct submitted on 1/15/18 ...PB)",2018.0,1.0,1.0,Jan,2.0,14.0
Adams,08001,Thornton,8.0,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,28672.0,2018-01-22,-2.0,"Two days this past week with temp high of 65°, 69°.  Conversely,  two days with Thi under 30, lowest temp at observation was 2°. Snow reported 3 days for a total of  0.89"" SWE. ",2018.0,1.0,1.0,Jan,4.0,22.0
Adams,08001,Thornton,8.0,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,29027.0,2018-01-29,-1.0,"0.33 from 2.7 inches of snow in the last 7 days. Daily temp highs range from 20's to 59°. 

",2018.0,1.0,1.0,Jan,5.0,29.0
Washington,08121,Akron,8.0,CO,8750164b-9ca1-4e08-a2bd-1693205e3ba8,28738.0,2018-01-26,-2.0,"Winter wheat holding on, Still in dorminancy.",2018.0,1.0,1.0,Jan,4.0,26.0
Washington,08121,cope,8.0,CO,faa0447d-0379-46df-8cdd-60a7841a0201,28498.0,2018-01-19,-2.0,"no moisture to speak of for months now.  Dry, dusty conditions everywhere - in pastures and fields.",2018.0,1.0,1.0,Jan,3.0,19.0
Washington,08121,cope,8.0,CO,faa0447d-0379-46df-8cdd-60a7841a0201,28740.0,2018-01-26,-2.0,"The recent snow gave us very little moisture as it ended up in drifts in the ditch and buildings, but not much on the fields.",2018.0,1.0,1.0,Jan,4.0,26.0
Larimer,08069,Estes Park,8.0,CO,11876e6e-2bd1-4cff-be9f-37f2efad9987,28329.0,2018-01-13,-2.0,"We received our last significant snow on Nov. 7, 2017, 10.2"" and 0.55"" of precipitation. We received an additional 0.12"" the following day. In the two months since, our total precipitation has been 0.56"", a few hundredths at a time, and many days of high winds. We're very concerned about the potential for damaging wildfires, as well as water shortages in summer and reduced forage for wildlife. ",2018.0,1.0,1.0,Jan,2.0,13.0
Archuleta,08007,Pagosa Springs,8.0,CO,ab75555b-5652-4c15-8030-9890f429aea4,28472.0,2018-01-16,-3.0,"ground cracking, no snow cover in exposed areas.",2018.0,1.0,1.0,Jan,3.0,16.0
Larimer,08069,Fort Collins,8.0,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,28235.0,2018-01-08,-1.0,"Temperatures have returned to average or above  Bare ground and gradual drying continues  Winds have been light so reducing the dry out  rate.  Moisture was good until mid October, but dry since then.",2018.0,1.0,1.0,Jan,2.0,8.0
